k,silhouette,dbi,intra_inter_ratio
3,0.13176986575126648,2.1888959661063025,2.1188747789951865
4,0.12649743258953094,2.0076746038279785,1.7750828199548725
5,0.1361212283372879,2.0778115280673193,5.361218956871932
6,0.13329169154167175,2.0219660309783176,6.531722101457744
7,0.13512063026428223,2.0677150316730417,2.8614272304220174
8,0.1057450920343399,2.1430527358725344,2.080736810236308
10,0.10016187280416489,2.2826446306057346,2.756947926018336
