k,silhouette,dbi,intra_inter_ratio
3,0.7559033036231995,0.5327409307695441,5.972642788718727
4,0.7251174449920654,0.6928854684696977,2.120663255363337
5,0.6345235109329224,0.7646123937152963,1.8733991612579082
6,0.5809223651885986,0.8088303239080142,2.106875983946429
7,0.5720768570899963,0.8279469727102712,1.182337824156997
8,0.5849546790122986,0.8089740053315064,1.0231748873743791
10,0.5568723678588867,0.8116190515426741,0.9070218477902122
